DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,Temp,EC,DO,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,dD,d18O,NH4-N,Ortho-P,FI,HIX,UVA254,UVA280,SUVA254,SUVA280,SamplingNote
MST,,,,,,pH,degC,uS/cm,%,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,au,au,au,
(Detection limit),,,,,,,,,,0.00023,0.00026,0.0002,2.37,0.82,3.34,1.9,0.51,0.84,1.45,0.00424,2.265,0.7582,0.0403,0.00424,0.66,3.2668,0.1443,0.4243,0.0106,0.1527,0.123,0.00212,0.1761,0.1252,0.00636,0.00212,0.01485,0.00849,0.2715,0.0127,0.7637,0.0764,0.0127,0.0382,0.1782,0.00636,0.0191,2.1001,4.5184,0.3606,0.6788,0.1909,0.9758,0.7849,0.0424,0.2969,0.0424,0.2969,0.0212,0.063,0.0212,0.0658,0.00212,0.1365,0.4,0.1,0.01,0.01,,,,,,,
(Lab Method),,,,,,PH_EC1,OxyTem,PH_EC1,OxyTem,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,UV_Vis,UV_Vis,
4/4/2012 15:30,EFJR,JEMEZ_s630,GRAB,Grab,Surface water,6.7,7.2,-9999,83.3,6.313,8.213,0.4381,21.78,150.51,1.67,0.95,0.255,34.92,0.725,0.00212,-9999,7870.63,1429.95,412.88,15193.25,397.96,1529.06,10513.26,2.19,0.73,0.32,3.69,154.1,0.0626,1.2,2.86,8.93,1.69,0.1358,48.36,419.81,0.0382,0.0064,0.0191,0.0891,0.00318,27.84,358.29,789.44,85.91,351.41,76.7,18.52,75.58,10.62,71.23,13.66,44.12,6.88,40.58,7.49,0.0329,0.00106,73.26,-85.02,-12.48,0.024900001,0.037999999,-9999,-9999,-9999,-9999,-9999,-9999,
3/30/2012 12:30,TopUJSp,JEMEZ_s631,GRAB,Grab,Surface water,-9999,-9999,-9999,-9999,7.397,1.065,0.4298,1.185,23.66,1.67,0.95,26.49,40.98,0.725,0.00212,-9999,5458.69,1174.52,5.9,13363.86,429.18,647.75,11111.05,0.6,0.03,1.02,0.00106,6.92,0.0626,0.00318,0.00106,1.81,1.41,0.45,40.33,99.56,1.39,0.0064,0.0191,0.0891,0.00318,4.06,61.88,11.44,6.54,35.64,11.13,2.55,13.89,0.0212,11.03,2.76,10.11,0.0106,9.19,1.53,0.0329,0.00106,21.6,-87.56,-12.94,0.190099999,0.159400001,1.44,1.661716,0.049,0.038,0.04600939,0.035680751,
3/26/2012 16:30,Hwy4Culvert,JEMEZ_s632,GRAB,Grab,Surface water,-9999,-9999,-9999,-9999,3.207,2.426,0.4297,1.185,606.32,1.67,0.95,0.255,11.21,0.725,0.00212,1.1325,7343.23,430.96,31.2,1448.36,500.79,2714.98,5108.73,0.0053,0.24,0.44,0.00106,18.3,0.0626,7.26,1.56,3.47,1.46,0.94,23.09,89.01,0.0382,0.0064,0.0191,0.0891,0.00318,21.68,123.19,98.57,19.84,90.74,23.4,8.54,12.92,1.73,14.04,1.93,8.85,1.83,6.41,0.0106,0.0329,0.00106,11.8,-105.74,-15.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
3/26/2012 22:00,FLUME_UJ,JEMEZ_s633,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,10.45,1.229,1.185,30.46,1.67,0.95,30.02,50.88,0.725,0.00212,1.1325,3073.45,999.26,4800.16,11347.63,316.29,1607.03,8794.01,0.0053,0.43,0.39,6.69,152.84,0.0626,1.19,1.51,3.22,1.48,0.1358,34.47,1030.93,0.0382,0.0064,0.0191,0.0891,0.00318,14.99,675.15,1119.47,164.76,716.39,177.28,25.75,187.64,25.34,160.66,32.93,101.87,14.26,97.77,15.9,0.0329,0.00106,84.64,-83.15,-12.23,0.074100003,0.033599999,1.33,4.534626,0.63,0.48,0.060287081,0.045933014,
3/27/2012 22:00,FLUME_UJ,JEMEZ_s634,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,8.619,0.7238,1.185,30.41,1.67,0.95,19.36,50.29,0.725,0.00212,1.1325,3368.63,990.75,300.95,11875.55,330.89,1562.92,8808.66,0.0053,0.43,0.34,3.17,139.08,0.0626,1.24,1.51,4.49,1.77,0.1358,34.38,968.12,0.0382,0.0064,0.0191,0.0891,0.00318,15.77,626.48,1106.6,160.28,670.69,142.06,26.82,171.84,23.13,150.04,30.19,101.63,14.74,94.88,16.68,0.0329,0.00106,85.15,-82.87,-11.91,0.0744,0.021500001,1.36,3.736025,0.588,0.441,0.068221371,0.051166029,
3/28/2012 22:00,FLUME_UJ,JEMEZ_s635,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,8.582,0.6196,1.185,46.18,1.67,0.95,13.01,51.07,0.725,0.00212,1.1325,3928.32,1040.15,374.24,11935.07,369.48,1569.31,8031.97,4.14,0.68,0.65,3.43,314.33,0.05,1.57,1.38,18.03,1.49,0.1358,34.95,926.44,0.0382,0.0064,0.0191,0.0891,0.00318,16.25,711.56,1355.9,184.69,782.08,170.42,26.37,170.52,29.26,158.84,31.85,96.58,14.37,88.31,16.34,0.0329,0.00106,87.38,-83.3,-12.15,0.035399999,0.0187,1.36,4.440817,0.558,0.423,0.065019809,0.04928921,
3/29/2012 22:00,FLUME_UJ,JEMEZ_s636,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,7.63,0.55,1.185,40.42,1.67,0.95,10.35,52.16,0.725,0.00212,1.1325,3573.19,1028.28,296.54,12968.54,352.34,1407.85,8348.82,0.0053,0.42,0.41,3.24,113.9,0.0626,1.23,1.44,7.6,1.53,3.43,34.79,813.85,0.0382,0.0064,0.0191,0.0891,0.00318,15.99,520.02,1069.54,141.02,591.44,132.06,25.03,152.51,22.89,136.95,28.28,94.62,12.92,87.7,13.63,0.0329,0.00106,76.92,-82.72,-11.89,0.015900001,0.021199999,1.37,3.124729,0.55,0.414,0.072083879,0.054259502,
3/30/2012 22:00,FLUME_UJ,JEMEZ_s637,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,8.175,0.5612,1.185,33.81,1.67,0.95,14.12,48.51,0.725,0.00212,1.1325,3480.17,1046,558.37,12991.51,257.07,1489.91,8939.86,6.39,0.75,0.61,3.5,351.15,0.03,1.26,1.71,4.76,1.78,0.1358,34.43,965.55,0.0382,0.0064,0.0191,0.0891,0.00318,16.73,788.53,1541.82,203,839.08,177.02,30.31,193.23,27.69,166.75,33.13,93.65,14.8,83.78,16.21,0.0329,0.00106,96.36,-83,-11.97,0.015699999,0.018300001,1.34,4.668162,0.426,0.324,0.052110092,0.039633028,
3/31/2012 22:00,FLUME_UJ,JEMEZ_s638,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,8.505,0.5955,1.185,33.5,1.67,0.95,15.43,47.45,0.725,0.00212,1.1325,3459.15,986.93,235.31,12298.58,290.58,1482.14,8023.95,2.28,0.34,0.57,2.59,123.78,0.0626,1.4,1.76,2.83,1.6,0.1358,34.01,875.72,0.0382,0.0064,0.0191,0.0891,0.00318,15.57,565.69,995.72,144.24,618.76,140.45,24.14,152.52,22.84,139.25,32.32,88.28,12.07,87.58,14.16,0.0329,0.00106,80.4,-82.61,-11.99,0.0175,0.0149,1.35,4.89196,0.518,0.394,0.06090535,0.046325691,
4/1/2012 22:00,FLUME_UJ,JEMEZ_s639,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,7.77,0.5168,1.185,47.57,1.67,0.95,11.9,46.44,0.725,0.00212,1.1325,3364.45,892.63,377.69,12157.43,270.53,1349.65,151.87,1.38,0.4,0.38,2.21,116.05,0.0626,1.29,1.51,13.95,1.56,0.1358,32.87,807.56,0.0382,0.0064,0.0191,0.0891,0.00318,14.33,509.3,948.02,140.76,562.95,124.83,23.8,128.96,19.96,125.64,26.52,81.88,12.4,80.56,13.31,0.0329,0.00106,73.91,-83.49,-12.12,0.0124,0.017100001,1.34,4.9101,0.432,0.326,0.055598456,0.041956242,
3/26/2012 22:00,FLUME_LLJ,JEMEZ_s640,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,5.043,0.556,1.185,26.73,1.67,0.95,16.7,32.8,0.725,0.00212,-9999,2820.26,631.75,254.17,9936.6,353.15,772.11,177.18,1.07,0.16,0.4,1.62,64.62,0.0626,0.00318,1.33,3.52,1.5,0.1358,28.61,362.85,0.0382,0.0064,0.0191,0.0891,0.00318,7.63,250.83,560.31,61.77,254.07,61.98,8.29,68.04,10.11,54.39,12.33,36.3,4.45,33.26,4.35,0.0329,0.00106,33.46,-85.3,-12.18,0.048,0.034400001,-9999,-9999,-9999,-9999,-9999,-9999,
3/27/2012 22:00,FLUME_LLJ,JEMEZ_s641,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.533,0.4343,1.185,31.79,1.67,0.95,16.26,34.95,0.725,0.00212,1.1325,2510.47,595.87,197.83,11499.52,273.45,731.2,169.77,0.0053,0.17,0.5,0.00106,33.87,0.0626,1.07,1.76,6.72,1.54,0.28,27.01,267.02,0.0382,0.0064,0.0191,0.0891,0.00318,6.58,195.92,321.55,42.68,184.07,44.59,9.24,44.29,6.53,41.78,8.74,27.92,4.22,24,3.41,0.0329,0.00106,24.8,-84.35,-12.27,0.1131,0.0167,1.38,4.292966,0.271,0.205,0.059783808,0.045223914,
3/28/2012 22:00,FLUME_LLJ,JEMEZ_s642,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.391,0.4429,1.185,20.38,1.67,0.95,16.49,32.8,0.725,0.00212,1.1325,2402.25,584.67,171.96,9553.83,297.87,729.62,168.56,0.0053,0.14,0.27,1.57,89.29,0.0626,0.00318,0.00106,3.56,1.55,0.78,26.01,332.89,0.0382,0.0064,0.0191,0.0891,0.00318,6.56,244.03,577.12,58.2,233.1,60.93,10.02,54.55,9.21,52.33,11.23,30.87,6.17,31.68,4.55,0.0329,0.00106,33.6,-85.47,-12.33,0.063600004,0.0363,-9999,-9999,-9999,-9999,-9999,-9999,
3/29/2012 22:00,FLUME_LLJ,JEMEZ_s643,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.241,0.3857,1.185,18.61,1.67,0.95,13.77,34.55,0.725,0.00212,1.1325,2524.97,1062.47,152.31,10847.56,293.27,694.84,180.86,0.0053,0.24,0.39,1.12,36.96,0.0626,1.21,2.21,5.67,1.51,3.03,25.8,469.25,0.0382,0.0064,0.0191,0.0891,0.00318,6.53,227.3,487.49,56.3,262.38,67.86,11.26,72.25,11.76,69.56,11.36,43.95,5.18,33.68,5.28,0.0329,1.15,29.99,-85.52,-12.3,0.032200001,0.025800001,-9999,-9999,-9999,-9999,-9999,-9999,
3/30/2012 22:00,FLUME_LLJ,JEMEZ_s644,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.318,0.3829,1.185,48.08,1.67,0.95,14.81,31.82,0.725,0.00212,1.1325,3047.68,592.2,154.59,10223.98,299.78,693.72,192.65,0.0053,0.18,0.3,0.00106,58.39,0.0626,0.00318,1.02,5.17,1.71,0.11,25.04,263.32,0.0382,0.0064,0.0191,0.0891,0.00318,7.52,182.39,280.65,41.17,176.58,51.58,7.51,44.17,7.81,35.36,9.21,26.14,3,22.94,4.51,0.0329,0.00106,21.98,-86.3,-12.13,0.020500001,0.0207,-9999,-9999,-9999,-9999,-9999,-9999,
3/31/2012 22:00,FLUME_LLJ,JEMEZ_s645,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.633,0.3886,1.185,33.71,1.67,0.95,14.84,30.72,0.725,0.00212,1.1325,2447.89,585.66,163.73,10148.37,293.58,732.74,115.22,0.0053,0.22,0.29,1.01,30.68,0.0626,0.00318,1.96,8.4,1.53,1.26,24.8,308.24,0.0382,0.0064,0.0191,0.0891,0.00318,6.28,201.98,311.55,50.22,190.13,45.7,7.33,52.43,7.33,46.9,9.04,30.93,4.22,24.61,4.02,0.0329,0.00106,21.01,-85.66,-12.28,0.055300001,0.0196,-9999,-9999,-9999,-9999,-9999,-9999,
4/1/2012 22:00,FLUME_LLJ,JEMEZ_s646,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.571,0.3972,1.185,42.53,1.67,0.95,14.15,31.93,0.725,0.00212,1.1325,2515.47,578.71,182.47,10221.16,334.88,728.92,194.64,0.99,0.19,0.36,4.37,46.79,0.0626,0.00318,1.19,5.44,1.72,0.44,25.01,368.24,0.0382,0.0064,0.0191,0.0891,0.00318,7.7,258.24,627.67,59.37,238.58,57.98,9.73,63.54,9.83,59.77,13.2,41.9,5.36,33.66,6.06,0.0329,0.00106,32.27,-87.16,-12.63,0.0218,0.0233,-9999,-9999,-9999,-9999,-9999,-9999,
4/10/2012 10:30,FLUME_UR,JEMEZ_s647,GRAB,Grab,Surface water,7.1,4.4,-9999,73.4,4.226,6.837,0.6608,1.185,94.36,1.67,0.95,0.255,132.58,0.725,0.00212,1.1325,5383.61,881.29,184.91,14651.62,434.62,2615.74,168.67,1.85,0.35,0.55,7.51,68.5,0.0626,1.48,2.03,20.3,1.79,0.1358,59.58,263.7,0.0382,0.0064,0.0191,0.0891,0.00318,14.56,231.8,419.47,52.76,219.97,45.94,9.13,54.67,5.72,44.54,8.73,30.59,4.11,25.48,4.91,0.0329,0.00106,33.3,-80.68,-11.73,0.0232,0.036600001,-9999,-9999,-9999,-9999,-9999,-9999,
4/10/2012 9:00,FLUME_LR,JEMEZ_s648,GRAB,Grab,Surface water,7.1,3.1,-9999,86,4.162,8.364,1.05,1.185,102.46,1.67,0.95,0.255,134.07,0.725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-81.91,-11.71,0.028999999,0.033100002,-9999,-9999,-9999,-9999,-9999,-9999,
4/10/2012 9:30,FLUME_RM,JEMEZ_s649,GRAB,Grab,Surface water,6.7,5.2,-9999,74.4,5.873,1.586,0.1397,11.62,19.45,1.67,0.95,0.255,30,0.725,0.00212,1.1325,5865.97,737.6,156.74,14439.2,469.15,733.14,192.71,0.0053,0.22,0.3,0.00106,16.19,0.0626,0.00318,1.23,8.08,2.83,0.1358,32.05,47.49,0.97,0.0064,0.0191,0.0891,0.00318,4.77,68.93,87.56,9.42,37.57,11.32,2.6,9.02,0.0212,8.32,1.7,5.21,0.0106,3.91,0.0106,0.0329,0.00106,7.59,-80.98,-11.8,0.0262,0.203400001,-9999,-9999,-9999,-9999,-9999,-9999,HDPE bottle spilled
4/9/2012 10:00,FLUME_UJ,JEMEZ_s650,GRAB,Grab,Surface water,6.9,3.9,-9999,80.4,3.291,7.86,0.463,1.185,28.32,1.67,0.95,0.255,44.27,0.725,0.00212,1.1325,2907.77,822.89,147.82,12623.9,259.67,1165.71,112.45,0.0053,0.23,0.45,2.06,62.6,0.0626,1.11,1.51,3.8,1.67,1.1,30.98,587.27,0.0382,0.0064,0.0191,0.0891,0.00318,11.62,347.27,582.52,94.06,397.94,84.07,16.25,100.12,15.84,99.51,19.58,64.69,9.08,56.52,9.69,0.0329,0.00106,57.22,-84.03,-12.05,0.0177,0.0211,-9999,-9999,-9999,-9999,-9999,-9999,
4/9/2012 11:15,FLUME_LJ,JEMEZ_s651,GRAB,Grab,Surface water,6.5,6.8,-9999,70.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00212,1.1325,3473.39,1206.69,242.95,12270.78,330.85,1695.4,185.3,2.08,0.64,0.37,13.7,143.79,0.03,1.51,2.03,5.1,1.9,0.1358,55.69,503.74,0.0382,0.0064,0.0191,0.0891,0.00318,33.27,455.86,789.51,109.78,466.07,91.95,22.04,106.08,13.92,89.55,18.23,59.6,8.91,53.09,9.22,0.0329,0.00106,81.84,-84.52,-11.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,amber bottle broke
4/9/2012 11:45,FLUME_HG,JEMEZ_s652,GRAB,Grab,Surface water,6.7,6,-9999,70.9,2.487,4.181,0.4686,1.185,32.71,1.67,0.95,16.66,41.52,0.725,0.00212,-9999,2688.46,649.34,32.6,11733.41,297.59,915.56,150.8,0.0053,0.09,0.3,0.00106,20.92,0.0626,0.00318,1.27,7.74,1.68,1.91,21.49,313.25,0.0382,0.0064,0.0191,0.0891,0.00318,5.18,184.9,232.2,47.4,198.16,38.57,6.93,48.01,6.43,52.33,9.84,31.13,5.22,28.92,4.92,0.0329,0.00106,21.44,-84.79,-12.33,0.015,0.0166,-9999,-9999,-9999,-9999,-9999,-9999,
4/9/2012 12:30,FLUME_ULJ,JEMEZ_s653,GRAB,Grab,Surface water,6.6,7.7,-9999,70.6,3.186,5.54,0.8664,1.185,26.17,1.67,0.95,12.97,32.72,0.725,0.00212,1.1325,2374.61,543.76,33.3,10561.65,304.39,718.98,180.93,0.0053,0.2,0.29,0.00106,19.74,0.0626,0.00318,0.00106,9.04,1.71,0.1358,24.78,247.78,0.0382,0.0064,0.0191,0.0891,0.00318,6.03,165.69,264.14,36.13,161.88,41.55,8.03,44.86,5.32,41.85,7.63,26.8,3.61,21.78,3.61,0.0329,0.00106,19.34,-86.84,-12.68,0.0127,0.0262,-9999,-9999,-9999,-9999,-9999,-9999,
4/9/2012 13:30,EFJR,JEMEZ_s654,GRAB,Grab,Surface water,6.6,10.8,-9999,81,6.565,9.06,0.482,19.38,120.7,1.67,0.95,0.255,38.44,0.725,0.00212,1.1325,7890.31,1633.37,268.29,14650,308.79,1597.25,11111.42,2.92,0.75,0.62,3.89,151.6,0.03,1.98,4.23,6.49,2.27,1.59,53.65,348.58,1.11,0.0064,0.0191,0.0891,0.00318,28.15,369.88,643.3,80.99,324.86,70.04,18.69,71.95,10.35,63.1,11.66,39.79,6.03,34.47,6.13,0.0329,0.00106,67.83,-81.06,-11.63,0.029200001,0.035599999,-9999,-9999,-9999,-9999,-9999,-9999,
4/2/2012 22:00,FLUME_UJ,JEMEZ_s655,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,9.05,0.5466,1.185,42.29,1.67,0.95,10.76,46.4,0.725,0.00212,1.1325,3076.44,879.82,284.07,12271.29,281.85,1299.16,178.94,3.29,0.45,0.38,3.69,184.33,0.02,1.02,2.02,5.54,1.85,0.1358,31.17,759.08,2.74,0.0064,0.0191,0.0891,0.00318,13.69,571.24,1217.9,153.44,620.71,124.48,23.43,132.63,23.03,136.35,26.34,76.12,11.16,85.17,12.87,0.0329,0.00106,77.33,-83.13,-11.79,0.0294,0.0219,-9999,-9999,-9999,-9999,-9999,-9999,
4/3/2012 22:00,FLUME_UJ,JEMEZ_s656,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,8.524,0.5602,1.185,52.07,1.67,0.95,10.31,48.63,0.725,0.00212,1.1325,3320.18,879.51,296.2,13127.47,301.55,1324.12,7422.71,2.9,0.47,0.4,5.04,165.55,0.01,0.00318,1.95,3.36,1.72,0.1358,32.75,716.62,0.0382,0.0064,0.0191,0.0891,0.00318,13.96,533.85,1133.41,132.02,556.29,115.04,21.94,127.27,20.32,124.95,24.67,74.4,11.42,68.64,11.63,0.0329,0.00106,75.51,-83.64,-12.01,0.020500001,0.019099999,-9999,-9999,-9999,-9999,-9999,-9999,
4/4/2012 22:00,FLUME_UJ,JEMEZ_s657,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,9.426,0.5027,1.185,40.35,1.67,0.95,0.255,44.37,0.725,0.00212,1.1325,2975.77,871.59,456.51,12943.45,81.53,1321.85,7613.01,5.16,0.69,0.55,3.67,266.75,0.04,1.22,6.21,9.35,2.67,2.33,30.28,830.69,0.0382,0.0064,0.0191,0.0891,0.00318,9.6,660.07,1369.64,173.34,737.91,152.18,23,152.28,23.1,143.25,29.02,85.89,13.01,75.9,13.1,0.0329,0.00106,81.04,-86.83,-12.42,0.015,0.015799999,-9999,-9999,-9999,-9999,-9999,-9999,
4/5/2012 22:00,FLUME_UJ,JEMEZ_s658,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,bottle broke
4/2/2012 22:00,FLUME_LLJ,JEMEZ_s659,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,5.072,0.4844,1.185,28.11,1.67,0.95,12.96,30.81,0.725,0.00212,1.1325,2313.62,564.79,175.27,10434.21,74.45,760.1,6401.92,1.56,0.2,0.31,0.00106,57.68,0.0626,1.14,1.44,2.49,2.82,0.1358,23.56,295.72,0.0382,0.0064,0.0191,0.0891,0.00318,5.92,228.87,461.68,55.02,235.97,46.15,9.47,55.81,7.49,47.23,9.76,26.72,4.24,28,4.54,0.0329,0.00106,29.58,-86.91,-12.48,0.030099999,0.0261,-9999,-9999,-9999,-9999,-9999,-9999,
4/3/2012 22:00,FLUME_LLJ,JEMEZ_s660,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.823,0.5298,1.185,29.47,1.67,0.95,0.255,31.59,0.725,0.00212,1.1325,2560.07,590.94,171.14,10658.09,108.68,731.37,6686.39,1.56,0.2,0.28,1.11,57.44,0.0626,0.00318,1.86,3.52,2.84,0.1358,25.08,253.69,16.23,0.0064,0.0191,0.0891,0.00318,5.98,192.18,469.95,51.65,229.2,37.42,9.16,60.61,7.27,41.6,7.56,29.66,2.99,19.61,3.68,0.0329,0.00106,27.07,-86.05,-12.37,0.038400002,0.0285,-9999,-9999,-9999,-9999,-9999,-9999,
4/4/2012 22:00,FLUME_LLJ,JEMEZ_s661,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.87,0.4519,1.185,28.7,1.67,0.95,0.255,30.79,0.725,0.00212,1.1325,3752.06,703.04,300.74,11124.86,67.72,745.74,10015.95,1.64,0.22,0.15,1.11,80.52,0.0626,0.00318,1.09,5.9,2.91,1.08,24.62,290.82,0.0382,0.0064,0.0191,0.0891,0.00318,6.5,241.37,603.88,64.64,250.51,52.03,6.85,51.23,9.04,56,8.34,29.89,4.07,27.11,3.77,0.0329,0.00106,27.7,-87.28,-12.42,0.063299999,0.0309,-9999,-9999,-9999,-9999,-9999,-9999,
4/5/2012 22:00,FLUME_LLJ,JEMEZ_s662,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,5.034,0.5221,1.185,19.41,1.67,0.95,0.255,29.95,0.725,0.00212,1.1325,2858.27,595.86,252.6,10119.95,201.75,718.54,6727.33,3.19,0.23,0.26,1.53,106.28,0.0626,7.7,2.01,3.05,3.08,0.1358,25.75,304.58,0.0382,0.0064,0.0191,0.0891,0.00318,9.96,279.73,719.81,66.55,298.97,65.15,8.02,59.23,8.62,54.22,10.22,33.48,4.41,23.95,4.41,0.0329,0.00106,34.68,-86.76,-12.53,0.049600001,0.083999999,-9999,-9999,-9999,-9999,-9999,-9999,
4/6/2012 22:00,FLUME_LLJ,JEMEZ_s663,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.869,0.4043,1.185,21.37,1.67,0.95,10.58,30.5,0.725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-86.4,-12.34,0.039500002,0.025900001,-9999,-9999,-9999,-9999,-9999,-9999,
4/7/2012 22:00,FLUME_LLJ,JEMEZ_s664,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.177,0.3733,1.185,23.46,1.67,0.95,0.255,29.97,0.725,0.00212,1.1325,2755.13,596.48,196.6,10022.57,106.52,701.37,6525.09,2.08,0.25,0.18,1.17,92.98,0.0626,0.00318,0.00106,3.33,2.88,1.9,25.26,272.43,0.0382,0.0064,0.0191,0.0891,0.00318,10.46,247.76,617.86,64.55,250.94,47.05,8.75,63.75,7.26,47.34,7.96,28.64,3.28,24.17,3.48,0.0329,0.00106,28.84,-85.9,-12.31,0.0221,0.020099999,-9999,-9999,-9999,-9999,-9999,-9999,
4/8/2012 22:00,FLUME_LLJ,JEMEZ_s665,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,4.881,0.3659,1.185,20.41,1.67,0.95,0.255,29.55,0.725,0.00212,1.1325,2560.31,584.47,185.31,10010.19,53.75,717.68,6360,1.02,0.21,0.9,0.00106,136.66,0.0626,0.00318,3.43,11.8,2.95,1.41,24.82,303.03,0.0382,0.0064,0.0191,0.0891,0.00318,6.48,203.52,491.79,56.04,235.62,54.14,9.37,54.94,7.48,48.36,10.57,30.91,3.99,26.72,4.49,0.0329,1.36,41.58,-86.48,-12.59,0.0166,0.0167,-9999,-9999,-9999,-9999,-9999,-9999,
