SiteCode,SampleCode,Sample_Date,DateTime,Gage_Ht,Temperature  (C),pH (pH),EC (uS/cm),Cl (mg/L),NO3-N (ug N/L),SO4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),NH4-N (ug/L),PO4 (mg/L),dissolved org C (mg/L),dissolved inorganic C (mg/L),total dissolved N (mg/L),total dissolved P (ug P/L),SiO2 (mg/L),dissolved org N (mg/L),total suspended sediment (mg/L)
QS,25717,6/20/2006,6/20/2006 8:30,4.2,22.6,6.19,45.3,6.92,23.7,0.62,4.07,0.28,1.33,2.57,2.5,2,2.78,-9999,0.15,-9999,7.55,0.12,4.93
Q2,25726,6/20/2006,6/20/2006 9:20,0.14,23.5,6.89,75.5,6.99,56.56,0.84,5.92,0.86,2.02,5.06,2.5,9.64,4.13,-9999,0.19,-9999,16.67,0.13,31.6
QP,25718,6/20/2006,6/20/2006 8:43,1.6,22.8,6.8,68.2,8.78,42.2,0.73,5.48,0.38,2.6,3.77,2.5,4.76,3.19,-9999,0.18,-9999,12.32,0.13,19.56
Q1,25725,6/20/2006,6/20/2006 9:32,0.79,23.2,6.99,79.2,7.84,94.5,1.08,6.5,0.89,2.22,4.39,21.56,9.47,5.1,-9999,0.28,-9999,19.6,0.16,102
Q3,25727,6/20/2006,6/20/2006 9:10,0.9,23.07,7.02,73.9,7.36,53.24,0.65,5.97,0.72,2.27,3.84,2.5,6.11,2.76,-9999,0.16,-9999,17.63,0.11,14.29
RS,25728,6/20/2006,6/20/2006 10:32,-9999,24.55,7.24,77,9.42,73.01,0.72,7.2,0.79,1.81,3.58,12.05,5.18,1.82,-9999,0.16,-9999,18.53,0.07,21.83
MPR,25723,6/20/2006,6/20/2006 10:00,3.12,23.53,6.67,72.2,6.76,43.99,0.92,5.05,0.62,1.36,5.76,2.5,2,2.2,-9999,0.13,-9999,13.18,0.08,10.45
MPR,25739,6/27/2006,6/27/2006 10:08,1.88,24.48,7.51,107.1,7.2,63.6,1.23,6.44,0.67,2.02,8.59,2.5,5.96,1.09,-9999,0.12,-9999,21.44,0.05,0.9
QS,25733,6/27/2006,6/27/2006 8:28,3.1,23,6.64,50.5,6.5,98.57,0.52,4.54,0.28,1.53,2.94,2.5,2,1.48,-9999,0.14,-9999,11.27,0.04,1
QP,25734,6/27/2006,6/27/2006 8:41,1.35,23,6.62,83.9,7.92,85.16,0.42,6.38,0.35,3.61,5.11,5.74,2,1.25,-9999,0.11,-9999,21.68,0.02,11.2
QG,25736,6/27/2006,6/27/2006 11:49,8.7,21.5,6.49,49.9,5.95,69.89,0.39,5.18,0.45,1.07,3.07,6.02,2,0.91,-9999,0.11,-9999,18.02,0.04,3.8
RI,25737,6/27/2006,6/27/2006 11:23,1.2,21.9,6.64,61,5.84,142.81,0.4,5.5,0.57,1.36,3.87,6.93,2,0.93,-9999,0.23,-9999,20.87,0.08,2.2
RES4,25738,6/27/2006,6/27/2006 10:05,3.95,27,7.22,94.4,8.76,62.18,0.63,6.86,0.39,3.38,6.28,5.83,2,1.76,-9999,0.13,-9999,16.9,0.06,1.7
RS,25744,6/27/2006,6/27/2006 10:20,-9999,24.84,7.5,103.3,10.59,104.2,0.79,8.74,0.8,2.85,5.61,5.74,8.3,0.86,-9999,0.17,-9999,26.52,0.06,3.4
Q3,25743,6/27/2006,6/27/2006 8:42,0.57,23.11,7.37,96.4,7.93,98.32,0.6,7.41,0.69,3.1,5.2,2.5,11.44,0.55,-9999,0.13,-9999,28.35,0.03,2.5
Q2,25742,6/27/2006,6/27/2006 8:52,0.08,23.5,7.3,108.4,7.05,128.43,0.92,7.28,0.87,2.7,6.63,2.5,9.43,1.01,-9999,0.17,-9999,28.05,0.04,7.3
Q1,25741,6/27/2006,6/27/2006 9:00,0.72,23.3,7.37,124.4,8.35,214.45,1.28,8.9,0.9,3.4,6.4,2.5,21.96,0.79,-9999,0.24,-9999,31.65,0.02,9.39
MPR,25755,7/5/2006,7/5/2006 10:08,1.88,24.48,7.51,107.1,6.94,70.39,1.13,6.09,0.61,1.77,6.34,5.28,4.43,0.77,-9999,0.15,-9999,18.52,0.08,0.9
Q3,25759,7/5/2006,7/5/2006 8:42,0.57,23.11,7.37,96.4,8.58,107.72,0.6,7.55,0.7,2.88,4.77,2.5,10.79,0.58,-9999,0.13,-9999,24.84,0.02,3.68
Q1,25757,7/5/2006,7/5/2006 9:00,0.72,23.3,7.37,124.4,8.11,206.42,1.23,8.46,0.91,3.17,5.88,8.9,20.14,0.47,-9999,0.22,-9999,-9999,0.01,12.27
RES4,25754,7/5/2006,7/5/2006 11:32,4.1,27.2,7.24,87.6,8.66,46.46,0.66,6.54,0.38,3.07,6.06,10.68,4.58,1.66,-9999,0.15,-9999,14.71,0.09,1.6
RI,25753,7/5/2006,7/5/2006 12:57,1.26,22.9,6.61,59.4,5.71,131.06,0.41,5.33,0.55,1.31,4.11,8.39,2,0.78,-9999,0.17,-9999,18.6,0.03,22.93
RS,25760,7/5/2006,7/5/2006 10:20,-9999,24.24,7.5,103.3,9.74,104.37,0.75,7.72,0.73,2.26,4.57,5.83,6.4,0.92,-9999,0.16,-9999,20.17,0.05,5
QG,25752,7/5/2006,7/5/2006 12:40,8.65,21.7,6.67,49.8,6.16,75.87,0.41,5.11,0.42,1.06,3.03,7.48,2,0.67,-9999,0.1,-9999,16.84,0.02,6.7
QP,25750,7/5/2006,7/5/2006 10:00,1.41,23,7.05,74.5,7.75,46.63,0.46,5.8,0.32,3.05,4.34,2.5,2,1.08,-9999,0.11,-9999,19.18,0.06,4.68
QS,25749,7/5/2006,7/5/2006 9:45,3.36,22.8,6.71,48.3,6.55,66.84,0.53,4.36,0.26,1.43,2.69,2.5,2,1.35,-9999,0.14,-9999,10.44,0.07,1.1
Q2,25758,7/5/2006,7/5/2006 8:52,0.08,23.5,7.3,108.4,6.78,128.68,0.87,6.93,0.85,2.56,5.44,2.5,15.37,0.63,-9999,0.15,-9999,27.45,0.02,8.2
RS,25776,7/11/2006,7/11/2006 10:04,-9999,23.29,7.3,76.3,9.43,125.78,0.76,7.25,0.72,2.1,4.43,6.66,9.42,1.09,-9999,0.17,-9999,18.57,0.04,6.04
Q1,25773,7/11/2006,7/11/2006 9:01,0.76,23,7.11,93.9,7.99,174.96,1.17,8.11,0.93,3.03,5.85,2.5,17.5,0.67,-9999,0.24,-9999,28.79,0.06,14.71
MPR,25771,7/11/2006,7/11/2006 9:50,2.38,23.71,-9999,127.6,6.85,88.32,1.09,5.57,0.56,1.57,7.33,2.5,4.8,0.82,-9999,0.12,-9999,16.45,0.03,2.1
RES4,25770,7/11/2006,7/11/2006 11:24,4.4,25.6,7.07,73.9,7.47,50.63,0.61,5.47,0.33,2.36,4.8,2.5,4.26,1.75,-9999,0.16,-9999,12.36,0.1,4
RI,25769,7/11/2006,7/11/2006 12:40,1.3,23,6.78,53.6,5.54,127.57,0.43,4.98,0.53,1.2,3.74,2.5,2,0.77,-9999,0.14,-9999,16.69,0.01,4.3
QP,25766,7/11/2006,7/11/2006 10:05,1.54,22.8,7.05,63.9,7.42,47.92,0.44,5.24,0.31,2.46,3.51,2.5,2,0.98,-9999,0.11,-9999,14.37,0.06,6
Q2,25774,7/11/2006,7/11/2006 8:51,0.14,23.3,7.25,88.8,6.78,146.78,0.86,7.02,0.88,2.65,6.44,2.5,9.31,0.47,-9999,0.16,-9999,26.36,0.01,1
Q3,25775,7/11/2006,7/11/2006 8:42,0.72,22.88,7.25,75.8,7.39,99.02,0.58,6.58,0.68,2.71,4.55,2.5,28.66,0.57,-9999,0.14,-9999,23.69,0.04,4.6
QS,25765,7/11/2006,7/11/2006 9:50,3.62,22.5,6.68,43.9,6.25,51.01,0.5,4.08,0.25,1.28,2.5,7.51,2,1.29,-9999,0.12,-9999,9.08,0.06,1.2
QG,25768,7/11/2006,7/11/2006 12:25,8.68,21.7,6.8,46.9,5.88,78.12,0.43,4.82,0.4,1.01,2.84,2.5,2,0.61,-9999,0.11,-9999,14.8,0.03,8.4
RES4,25786,7/18/2006,7/18/2006 11:42,4,26.5,7.38,103.6,9.4,38.48,0.62,7.44,0.35,3.62,5.31,2.5,4.23,1.08,-9999,0.14,-9999,18.35,0.1,0.4
RS,25792,7/18/2006,7/18/2006 10:28,-9999,24.23,7.7,86.2,10.6,95.35,0.74,8.71,0.77,2.6,4.58,6.36,5.8,0.34,-9999,0.16,-9999,36.33,0.06,3.4
Q3,25791,7/18/2006,7/18/2006 9:06,0.66,22.86,7.37,82.6,8.01,125.8,0.57,7.64,0.68,3.04,4.75,5.69,11.41,0.05,-9999,0.17,-9999,27.04,0.04,2.8
Q2,25790,7/18/2006,7/18/2006 9:16,0.11,23,7.37,94.6,6.94,167.54,0.92,7.78,0.83,3.04,5.9,2.5,15.57,0.3,-9999,0.15,-9999,29.93,0.01,3.57
MPR,25787,7/18/2006,7/18/2006 10:08,1.94,23.76,7.69,89.2,7.4,59.97,1.16,6.53,0.62,2.04,6.85,5.9,8.55,0.67,-9999,0.13,-9999,20.37,0.07,0.8
RI,25785,7/18/2006,7/18/2006 12:44,1.26,22.7,6.76,60.2,5.79,122.39,0.42,5.4,0.55,1.34,3.87,5.02,2,0.59,-9999,0.14,-9999,19.4,0.02,4.6
QG,25784,7/18/2006,7/18/2006 12:30,8.68,21.8,6.9,50.1,6.06,69.49,0.4,5.13,0.4,1.08,3.03,6.67,2,0.65,-9999,0.1,-9999,17.37,0.03,13.1
QP,25782,7/18/2006,7/18/2006 10:22,1.41,22.9,7.12,79,7.91,51.59,0.43,6.1,0.32,3.35,4.39,2.5,2,0.75,-9999,0.1,-9999,17.86,0.04,4.7
QS,25781,7/18/2006,7/18/2006 10:10,3.26,22.8,6.76,52.5,7.02,86.22,0.52,4.71,0.25,1.59,3.05,5.99,2,0.98,-9999,0.14,-9999,11.45,0.05,0.8
Q1,25789,7/18/2006,7/18/2006 9:23,0.77,23,7.34,96.4,8.4,193.14,1.26,8.93,0.88,3.34,5.45,2.5,23.34,0.3,-9999,0.2,-9999,33.19,0.01,8.77
QP,25798,7/26/2006,7/26/2006 9:12,1.36,23,7.11,86.1,8.17,53.55,0.46,6.52,0.31,3.57,5.05,5.62,2,0.68,-9999,0.11,-9999,20.89,0.05,4.8
Q1,25805,7/26/2006,7/26/2006 8:56,0.76,23,7.04,106.4,8.61,189.65,1.31,9.16,0.87,3.38,6.38,2.5,17.02,0.13,-9999,0.19,-9999,33.92,0.01,9.1
QS,25797,7/26/2006,7/26/2006 9:00,3.22,23.1,6.72,54.3,6.98,85.69,0.54,4.92,0.27,1.71,3.34,5.01,2,0.8,-9999,0.13,-9999,12.51,0.04,0.5
RI,25801,7/26/2006,7/26/2006 11:58,1.24,22.5,6.45,61.9,5.89,120.98,0.4,5.54,0.54,1.37,3.98,5.41,2,0.5,-9999,0.15,-9999,21.04,0.02,2.6
MPR,25803,7/26/2006,7/26/2006 8:26,2.02,24.22,7.39,102.6,7.58,104.35,1.2,7.02,0.66,2.18,6.65,7.48,8.64,0.61,-9999,0.18,-9999,24.63,0.07,0.5
Q2,25806,7/26/2006,7/26/2006 8:49,0.09,23.3,7.08,100.5,7.2,150.6,0.97,8.1,0.84,3.21,7.06,2.5,16.63,0.4,-9999,0.2,-9999,27.59,0.04,5.89
Q3,25807,7/26/2006,7/26/2006 8:41,0.58,23.1,7.06,91.7,8.35,136.72,0.6,8.08,0.69,3.43,5.79,2.5,15.68,0.24,-9999,0.16,-9999,26.69,0.03,2
RS,25808,7/26/2006,7/26/2006 9:35,-9999,24.83,7.38,98.1,11.1,96.21,0.77,9.25,0.8,2.92,5.64,2.5,11.19,0.57,-9999,0.14,-9999,24.72,0.04,2.3
QG,25800,7/26/2006,7/26/2006 11:33,8.65,21.6,6.65,50.9,6.13,73.66,0.4,5.29,0.41,1.12,3.1,6.69,2,0.4,-9999,0.13,-9999,18.93,0.05,8.2
RES4,25802,7/26/2006,7/26/2006 10:45,4,26.5,7.2,93.9,8.84,42.56,0.64,6.95,0.36,3.3,5.28,2.5,2,1.45,-9999,0.15,-9999,17.36,0.1,1.6
QP,25814,8/1/2006,8/1/2006 9:28,1.44,23,6.91,76.3,7.86,41.14,0.45,5.94,0.35,3.1,4.37,2.5,2,0.73,-9999,0.15,-9999,17.39,0.11,3.5
Q2,25822,8/1/2006,8/1/2006 8:46,0.1,23.23,6.77,78.5,7.03,128.55,0.9,7.64,0.87,2.97,7.16,2.5,12.03,0.45,-9999,0.17,-9999,28.71,0.05,4.2
Q3,25823,8/1/2006,8/1/2006 8:35,0.56,23.15,6.79,73.9,8.11,119.52,0.59,7.66,0.74,3.17,5.38,2.5,8,0.54,-9999,0.16,-9999,26.97,0.04,1.3
Q1,25821,8/1/2006,8/1/2006 8:52,0.76,23,6.62,87.9,7.16,100.15,1.47,8.96,0.94,3.51,6.13,2.5,17.98,-9999,-9999,-9999,-9999,32.07,-9999,6.5
MPR,25819,8/1/2006,8/1/2006 9:48,2.2,24.24,7.05,81.6,7.33,66.57,1.18,6.48,0.67,2,8.45,2.5,2,0.63,-9999,0.14,-9999,20.18,0.07,0.7
RES4,25818,8/1/2006,8/1/2006 11:23,4,26.9,7.33,98.8,9.17,50.26,0.63,7.12,0.4,3.57,7.09,5.35,2,1.1,-9999,0.15,-9999,17.04,0.1,1
QG,25816,8/1/2006,8/1/2006 12:34,8.68,21.8,6.67,48.6,6.12,65.41,0.4,5.2,0.43,1.11,3.1,2.5,2,0.62,-9999,0.11,-9999,17.77,0.04,9.5
QS,25813,8/1/2006,8/1/2006 9:15,3.24,23,6.45,51.6,6.88,66.94,0.51,4.6,0.29,1.54,2.91,9.28,2,0.99,-9999,0.18,-9999,10.42,0.1,0.5
RI,25817,8/1/2006,8/1/2006 12:20,1.23,23.5,6.54,60.2,6.11,132.69,0.4,5.45,0.57,1.36,4.26,2.5,2,0.33,-9999,0.17,-9999,20.01,0.04,1.6
RS,25824,8/1/2006,8/1/2006 10:00,-9999,24.6,7.04,82.6,10.73,112.36,0.78,8.95,0.87,2.85,5.85,2.5,5.51,0.82,-9999,0.19,-9999,25.26,0.07,1.7
QG,25832,8/8/2006,8/8/2006 12:00,8.68,21.6,6.71,57.5,6.07,65.08,0.41,5.04,0.43,1.03,2.78,10.14,2,0.96,-9999,0.11,-9999,16.5,0.03,17
RS,25840,8/8/2006,8/8/2006 10:15,-9999,24.21,7.38,69.2,9.7,114.74,0.77,7.88,0.87,2.45,5.37,2.5,8.29,1.43,-9999,0.18,-9999,22.01,0.06,8.09
Q2,25838,8/8/2006,8/8/2006 8:35,0.16,23.3,7.2,74.1,6.92,2.5,0.83,6.97,0.87,2.53,6.11,8.31,6.85,1.84,-9999,0.09,-9999,25.84,0.08,40.19
Q1,25837,8/8/2006,8/8/2006 8:50,0.84,23,7.03,71.8,7.79,2.5,1.02,7.34,0.91,2.55,4.97,9.22,9.54,3.09,-9999,0.15,-9999,24.96,0.14,72.86
MPR,25835,8/8/2006,8/8/2006 9:57,2.49,23.59,7.27,73.7,7.01,56.55,1.05,5.78,0.59,1.75,7.05,16.69,4.36,1.17,-9999,0.12,-9999,17.69,0.04,2.1
Q3,25839,8/8/2006,8/8/2006 8:27,0.63,22.85,7.24,70.6,7.67,139.87,0.6,6.92,0.7,2.76,4.74,2.5,8,0.99,-9999,0.19,-9999,24.29,0.04,8.4
QP,25830,8/8/2006,8/8/2006 9:48,1.72,22.9,6.94,65,7.22,41.79,0.46,5.25,0.34,2.58,3.71,5.69,2,2.1,-9999,0.12,-9999,13.57,0.07,16.67
QS,25829,8/8/2006,8/8/2006 9:26,3.8,22.7,6.58,43.9,6.05,38.85,0.49,4,0.27,1.3,2.52,5.69,2,2.02,-9999,0.11,-9999,8.57,0.07,2.1
RI,25833,8/8/2006,8/8/2006 12:15,1.32,22.3,6.68,48.5,5.64,134.63,0.41,5.16,0.56,1.32,4.3,15.62,2,0.84,-9999,0.15,-9999,18.5,0.01,8.27
RES4,25834,8/8/2006,8/8/2006 10:58,4.48,25.4,7.05,83.3,7.57,33.9,0.58,5.73,0.34,2.61,5.33,8.77,2,2,-9999,0.1,-9999,13.08,0.06,3.73
RS,25856,8/15/2006,8/15/2006 10:27,-9999,24.65,7.09,83.5,10.11,136.23,0.89,7.13,0.92,2.05,4.87,11.3,16.27,2.27,-9999,0.22,-9999,16.47,0.07,26.17
Q3,25855,8/15/2006,8/15/2006 9:15,0.6,23.13,7.29,89.3,9.19,143.65,0.77,7.12,0.75,2.85,4.83,5.01,9.16,1.45,-9999,0.19,-9999,26.2,0.04,11.1
Q2,25854,8/15/2006,8/15/2006 9:21,0.08,23.4,7.41,101.7,8.2,154.34,1.08,7.54,0.89,2.83,6.72,2.5,16.83,1.05,-9999,0.18,-9999,30.28,0.02,9.72
Q1,25853,8/15/2006,8/15/2006 9:28,0.75,23.13,7.15,91.5,9.85,222.96,1.49,8.79,0.93,3.21,6.32,14.02,22.01,0.82,-9999,0.2,-9999,35.62,0.01,14.1
MPR,25851,8/15/2006,8/15/2006 10:10,2.34,24.18,6.94,81,8.02,87.01,1.11,5.36,0.63,1.47,6.42,21.86,6.09,2.48,-9999,0.18,-9999,14.27,0.07,6.86
QG,25848,8/15/2006,8/15/2006 11:58,8.77,21.9,6.73,43.2,5.52,67.04,0.53,4.51,0.49,0.99,2.66,12.57,2,2.42,-9999,0.14,-9999,12.37,0.06,96
RES4,25850,8/15/2006,8/15/2006 10:41,3.37,26.2,7.32,72.6,8.94,47.38,0.63,6,0.41,2.33,4.84,27.19,2,1.48,-9999,0.12,-9999,15.57,0.04,4.59
QP,25846,8/15/2006,8/15/2006 9:30,1.44,23.2,7.15,78.4,8.34,47.02,0.47,6.27,0.33,3.16,4.47,6.33,2,1.1,-9999,0.1,-9999,18.33,0.05,4
QS,25845,8/15/2006,8/15/2006 9:15,3.69,23,6.73,47.6,6.65,43.88,0.53,4.29,0.28,1.39,2.7,10.75,2,2.31,-9999,0.12,-9999,9.03,0.06,1.7
RI,25849,8/15/2006,8/15/2006 11:44,1.46,22.1,6.66,49,6.27,119.32,0.56,4.7,0.58,1.08,3.28,17.14,2,2.27,-9999,0.19,-9999,14.24,0.05,32.5
Q2,25870,8/22/2006,8/22/2006 10:29,0.08,24,7.5,108.7,7.2,154.79,0.94,8,0.84,2.95,5.78,2.5,10.02,0.65,-9999,0.14,-9999,33.57,0.01,0.7
Q3,25871,8/22/2006,8/22/2006 8:46,0.56,23.27,7.34,101.1,8.16,117.33,0.6,7.81,0.69,3.2,5.62,2.5,2,0.49,-9999,0.13,-9999,30.38,0.01,1.4
Q1,25869,8/22/2006,8/22/2006 10:32,0.74,24,7.39,114.3,8.6,185.41,1.3,9.17,0.86,3.23,6.39,2.5,-9999,0.43,-9999,0.17,-9999,38.89,0.01,8.7
MPR,25867,8/22/2006,8/22/2006 10:30,2.08,24.62,7.25,101.5,9.14,54.07,1.45,6.88,0.7,2.06,7.67,2.5,-9999,0.81,-9999,0.09,-9999,21.56,0.04,0.4
RES4,25866,8/22/2006,8/22/2006 11:17,3.98,27,7.16,100.2,11.08,57.58,0.73,7.57,0.41,3.84,6.85,2.5,-9999,1.19,-9999,0.13,-9999,18.04,0.07,1
RI,25865,8/22/2006,8/22/2006 12:38,1.26,23.3,6.81,60,7.3,155.66,0.49,5.74,0.6,1.35,4.06,7.89,-9999,0.58,-9999,0.16,-9999,20.99,0.01,7.1
QG,25864,8/22/2006,8/22/2006 12:12,8.65,21.9,6.72,49.9,7.56,86.18,0.47,5.43,0.47,1.12,3.24,2.5,-9999,0.6,-9999,0.1,-9999,18.12,0.01,5.8
QP,25862,8/22/2006,8/22/2006 9:47,1.4,23.2,7.06,80.6,9.84,84.12,0.53,6.49,0.37,3.51,4.96,5.17,-9999,0.81,-9999,0.12,-9999,19.27,0.03,6.3
QS,25861,8/22/2006,8/22/2006 9:30,3.28,23.2,6.94,51.8,8.58,114.13,0.64,5.06,0.33,1.74,3.42,2.5,-9999,1.23,-9999,0.14,-9999,11.91,0.02,0.5
RS,25872,8/22/2006,8/22/2006 10:46,-9999,25.36,7.65,113.6,11.15,49.29,0.77,9.46,0.83,3.16,6.6,-9999,2,0.86,-9999,0.11,-9999,29.45,0.01,1.6
QG,25880,8/29/2006,8/29/2006 12:30,8.64,21.8,6.56,49.6,6.1,69.91,0.4,5.11,0.42,1.06,2.94,2.5,2,0.88,-9999,0.07,-9999,19.29,0.01,5.4
RS,25888,8/29/2006,8/29/2006 10:00,-9999,24.8,7.62,109.9,11.04,96.94,0.78,9.3,0.84,3.13,6.56,2.5,4.27,0.79,-9999,0.11,-9999,29.79,0.01,1.4
Q3,25887,8/29/2006,8/29/2006 10:00,0.55,23.22,7.31,101.8,8.06,128.68,0.61,7.75,0.71,3.3,5.64,2.5,2,0.47,-9999,0.14,-9999,30.41,0.01,66.5
Q2,25886,8/29/2006,8/29/2006 0:00,-9999,-9999,7.21,111.4,7.14,147.93,0.93,7.94,0.85,3.08,6.98,2.5,11.54,0.65,-9999,0.14,-9999,32.98,0.01,9.2
Q1,25885,8/29/2006,8/29/2006 0:00,-9999,-9999,7.39,120.5,8.54,187.55,1.32,9.11,0.88,3.48,7.03,5.26,17.06,0.67,-9999,0.22,-9999,38.71,0.02,10.2
MPR,25883,8/29/2006,8/29/2006 9:42,1.98,24.31,7.5,108.1,7.48,67.67,1.18,6.6,0.64,2.09,8.42,2.5,4.45,0.51,-9999,0.04,-9999,23.27,0.01,1.3
RI,25881,8/29/2006,8/29/2006 12:44,1.26,22.5,6.6,61.9,5.79,115.53,0.41,5.38,0.57,1.35,4.45,10.55,2,0.67,-9999,0.17,-9999,19.75,0.05,1.9
QP,25878,8/29/2006,8/29/2006 9:32,1.4,23.1,6.83,81.4,7.86,65.43,0.43,6.13,0.32,3.27,4.52,2.5,2,1.1,-9999,0.11,-9999,19.57,0.05,4.4
QS,25877,8/29/2006,8/29/2006 9:19,3.18,23.1,6.51,53.2,6.21,59.87,0.54,4.24,0.27,1.45,2.82,-9999,2,1.98,-9999,0.16,-9999,10.01,-9999,1.4
RES4,25882,8/29/2006,8/29/2006 11:41,3.91,27.6,7.23,105.5,7.77,45.33,0.63,6.1,0.37,2.86,5.89,2.5,2,2.35,-9999,0.11,-9999,14.71,0.06,4.3
QG,25896,9/5/2006,9/5/2006 12:06,8.7,21.2,6.66,49.8,6.18,65.05,0.39,5.25,0.42,1.07,3.06,2.5,2,0.55,-9999,0.07,-9999,19,0.01,8.8
RS,25904,9/5/2006,9/5/2006 10:50,-9999,23.42,7.31,93.4,11.14,81.46,0.81,9.52,0.85,3.23,6.71,5.01,5.35,1.11,-9999,0.13,-9999,30.52,0.04,1.53
QS,25893,9/5/2006,9/5/2006 9:07,3.5,23.4,6.58,47.6,6.8,80.62,0.51,4.66,0.27,1.66,3.21,5.61,2,1.12,-9999,0.14,-9999,12.3,0.05,0.2
QP,25894,9/5/2006,9/5/2006 9:20,1.5,23.4,6.66,68.6,7.31,58.81,0.53,5.57,0.35,2.85,4.13,5.29,2,2.35,-9999,0.12,-9999,15.95,0.06,12.3
RI,25897,9/5/2006,9/5/2006 11:48,1.3,22.5,6.53,60.1,5.83,115.58,0.38,5.51,0.56,1.4,4.32,17.41,2,0.67,-9999,0.12,-9999,21.35,0.01,14.2
MPR,25899,9/5/2006,9/5/2006 10:22,2.1,24.59,7,81,7.1,2.5,1.11,5.91,0.62,1.76,7.67,8.9,2,1.36,-9999,0.04,-9999,18.94,0.03,0.73
Q1,25901,9/5/2006,9/5/2006 7:39,0.73,23.5,7.02,101.1,8.43,90.43,1.3,8.79,0.89,3.34,6.43,2.5,11.98,0.85,-9999,0.14,-9999,38.47,0.05,12.5
Q2,25902,9/5/2006,9/5/2006 7:32,0.07,23.08,6.99,105.6,7.06,2.5,0.93,7.53,0.83,3.03,7.5,5.49,2,0.92,-9999,0.04,-9999,31.84,0.03,3.43
RES4,25898,9/5/2006,9/5/2006 10:54,4.4,27.8,7.01,81.2,9,42.34,0.61,7.33,0.38,3.85,7.58,10.84,2,1.36,-9999,0.1,-9999,19.8,0.04,1.1
Q3,25903,9/5/2006,9/5/2006 8:22,0.54,23.47,7.11,95.4,8.13,58.06,0.65,7.46,0.69,3.14,5.4,5.01,6.37,0.58,-9999,0.08,-9999,30.24,0.02,1.3
RES4,25914,9/12/2006,9/12/2006 11:34,4.17,24.6,7.09,79,6.12,53.5,0.61,5.48,0.39,2.69,5.81,2.5,2,3.25,-9999,0.18,-9999,13.33,0.13,6.8
QP,25910,9/12/2006,9/12/2006 9:33,1.42,22.8,7.09,73.1,6.84,51.84,0.45,5.69,0.33,2.97,4.31,2.5,2,1.49,-9999,0.14,-9999,18.03,0.08,7.2
QG,25912,9/12/2006,9/12/2006 12:24,8.66,21.5,6.84,50,5.9,38.54,0.36,5.25,0.43,1.04,2.96,2.5,2,0.74,-9999,0.1,-9999,19.48,0.06,1.7
RS,25920,9/12/2006,9/12/2006 10:30,-9999,24.43,7.33,111.1,9.92,85.18,0.8,8.95,0.87,3.03,6.08,2.5,2,1.2,-9999,0.17,-9999,27.73,0.08,1.9
Q3,25919,9/12/2006,9/12/2006 8:55,0.54,22.82,7.09,90.4,7.19,2.5,0.59,7.04,0.73,2.87,4.97,10.95,4.62,0.95,-9999,0.11,-9999,26.61,0.09,0.93
Q2,25918,9/12/2006,9/12/2006 0:00,-9999,-9999,7.01,99.8,6.5,2.5,0.86,7.15,0.87,2.69,6.45,2.5,2,0.97,-9999,0.08,-9999,28.38,0.07,3.14
Q1,25917,9/12/2006,9/12/2006 0:00,-9999,-9999,7.07,108.8,7.95,124.8,1.24,8.62,0.94,3.17,6.32,2.5,12.7,0.82,-9999,0.18,-9999,31.16,0.05,17.43
RI,25913,9/12/2006,9/12/2006 12:46,1.31,21.5,6.79,62,5.7,97.91,0.38,5.52,0.57,1.3,3.83,2.5,2,0.73,-9999,0.15,-9999,20.94,0.05,2.3
MPR,25915,9/12/2006,9/12/2006 10:20,2.1,23.13,7.13,98.4,6.3,23.21,1.08,5.72,0.6,1.67,8.34,2.5,2,1.46,-9999,0.12,-9999,18.03,0.1,1.1
QS,25909,9/12/2006,9/12/2006 9:20,3.38,22.4,6.7,44.7,5.15,44.88,0.54,3.97,0.26,1.28,2.47,2.5,2,2.19,-9999,0.13,-9999,9.37,0.09,2.4
Q1,25933,9/19/2006,9/19/2006 8:59,0.72,23,7.28,116.2,8.4,141.89,1.27,9.38,0.92,3.45,6.93,2.5,18.9,0.52,-9999,0.19,-9999,37.21,0.05,10.13
Q3,25935,9/19/2006,9/19/2006 8:45,0.5,23.25,7.3,94.8,7.94,92.25,0.65,7.75,0.7,3.24,5.51,2.5,6.72,0.78,-9999,0.19,-9999,31.11,0.1,1.1
QP,25926,9/19/2006,9/19/2006 9:27,1.36,23.2,6.97,88.5,7.87,64.31,0.43,6.57,0.33,3.6,5.01,2.5,2,0.87,-9999,0.13,-9999,20.21,0.07,5.8
QS,25925,9/19/2006,9/19/2006 9:15,2.96,23.2,6.45,55.6,6.72,92.16,0.48,4.9,0.29,1.66,3.17,2.5,2,0.92,-9999,0.16,-9999,12.66,0.07,0.2
RI,25929,9/19/2006,9/19/2006 12:36,1.21,23.9,6.74,64.6,5.79,132.44,0.34,5.71,0.58,1.34,4.2,2.5,2,0.41,-9999,0.13,-9999,21.8,0.01,1.2
RES4,25930,9/19/2006,9/19/2006 11:36,3.79,28.2,7.19,121.7,9.6,57.87,0.61,8.3,0.43,4.46,7.54,5.4,2,1.12,-9999,0.15,-9999,21.85,0.09,1.4
MPR,25931,9/19/2006,9/19/2006 10:02,1.89,24.54,7.46,117.1,7.4,62.1,1.22,6.97,0.69,2.16,9.13,2.5,4.91,0.82,-9999,0.14,-9999,23.74,0.08,0
